source_name,segment,instrument,clicked_year,month_label,date,daily_turnover,daily_volume,active_trading_days,source_level,raw_col_1,raw_col_2,raw_col_3,raw_col_4,raw_col_5,raw_col_6,raw_col_7,raw_col_8,raw_col_9,raw_col_10,raw_col_11,raw_col_12,raw_col_13,raw_col_14,raw_col_15,raw_col_16,raw_col_17,raw_col_18,raw_col_19
capital_market,Capital Market,NA,1999-2000,Feb-2000,,118694.0,20249.0,21.0,capital_market_year_summary_table,Feb-00,716,531,"1,204",21,"1,155",109,"20,249","1,18,694","5,652","1,08,672","15,117","1,08,704","10,69,770",,,,,
capital_market,Capital Market,NA,2000-2001,Feb-2001,,135932.0,48268.0,20.0,capital_market_year_summary_table,Feb-01,782,320,"1,026",20,984,192,"48,268","1,35,932","6,797","70,923","48,222","1,35,850","7,89,600",,,,,
capital_market,Capital Market,NA,2001-2002,Feb-2002,,49564.0,28552.0,20.0,capital_market_year_summary_table,Feb-02,791,198,889,20,840,177,"28,552","49,564","2,478","27,944","28,547","49,564","6,21,523",,,,,
capital_market,Capital Market,NA,2002-2003,Feb-2003,,48289.0,28681.0,19.0,capital_market_year_summary_table,Feb-03,818,107,788,19,760,191,"28,681","48,289","2,542","25,273","28,681","48,289","5,81,985",,,,,
capital_market,Capital Market,NA,2003-2004,Feb-2004,,108718.0,46484.0,19.0,capital_market_year_summary_table,Feb-04,907,21,788,19,763,308,"46,484","1,08,718","5,722","35,275","46,484","1,08,718","11,10,954",,,,,
capital_market,Capital Market,NA,2004-2005,Feb-2005,,99989.0,89665.0,20.0,capital_market_year_summary_table,Feb-05,964,4,837,20,835,425,"89,665","99,989","4,999","23,551","89,665","99,989","16,14,597",,,,,
capital_market,Capital Market,NA,2005-2006,Feb-2006,,135374.0,61629.0,19.0,capital_market_year_summary_table,Feb-06,"1,051",-,911,19,946,521,"61,629","1,35,374","7,125","25,976","61,629","1,35,374","25,12,083",,,,,
capital_market,Capital Market,NA,2006-2007,Feb-2007,,180170.0,89807.0,19.0,capital_market_year_summary_table,Feb-07,"1,208",-,"1,063",19,"1,086",702,"89,807","1,80,170","9,483","25,665","89,807","1,80,170","32,96,931",,,,,
capital_market,Capital Market,NA,2007-2008,Feb-2008,,280176.0,113588.0,21.0,capital_market_year_summary_table,Feb-08,"1,372",-,"1,227",21,"1,427","1,072","1,13,588","2,80,176","13,342","26,136","1,13,588","2,80,176","54,19,942",,,,,
capital_market,Capital Market,NA,2008-2009,Feb-2009,,149857.0,111865.0,19.0,capital_market_year_summary_table,Feb-09,"1,425",-,"1,284",19,"1,313",969,"1,11,865","1,49,857","7,887","15,465","1,11,865","1,49,857","26,75,622",,,,,
capital_market,Capital Market,NA,2009-2010,Feb-2010,,245143.0,123541.0,20.0,capital_market_year_summary_table,Feb-10,"1,461",31,"1,342",20,"1,585","1,133","1,23,541","2,45,143","12,257","21,645","1,23,541","2,45,143","57,55,305",,,,,
capital_market,Capital Market,NA,2010-2011,Feb-2011,,266504.0,141168.0,20.0,capital_market_year_summary_table,Feb-11,"1,563",61,"1,470",20,"1,543","1,278","1,41,168","2,66,504","13,325","20,851","1,41,168","2,66,504","61,95,967",,,,,
capital_market,Capital Market,NA,2011-2012,Feb-2012,,327808.0,207991.0,20.0,capital_market_year_summary_table,Feb-12,"1,644",71,"1,560",20,"1,649","1,535","2,07,991","3,27,808","16,390","21,353","2,07,991","3,27,808","62,33,250",,,,,
capital_market,Capital Market,NA,2012-2013,Feb-2013,,226642.0,139273.0,20.0,capital_market_year_summary_table,Feb-13,"1,665",76,"1,579",20,"1,673","1,167","1,39,273","2,26,642","11,332","19,413","1,39,273","2,26,642","63,85,291",,,,,
capital_market,Capital Market,NA,2013-2014,Feb-2014,,188751.0,96369.0,19.0,capital_market_year_summary_table,Feb-14,"1,684",74,"1,581",19,"1,702",976,"96,369","1,88,751","9,934","19,334","96,369","1,88,751","67,25,934",,,,,
